91. (88) GERTRUD (Carl Theodor Dreyer, 1964)
92. (73) THE GOLD RUSH (Charles Chaplin, 1925)
93. (95) THE MAN WHO SHOT LIBERTY VALANCE (John Ford, 1962)
94. (93) JAWS (Steven Spielberg, 1975)
95. (116) LA JETÉE (Chris Marker, 1962)
96. (84) JULES ET JIM (François Truffaut, 1962)
97. (243) CLÉO FROM 5 TO 7 (Agnès Varda, 1962)
98. (102) SANS SOLEIL (Chris Marker, 1983)
99. (277) MESHES OF THE AFTERNOON (Maya Deren & Alexander Hammid, 1943)
100. (100) TO BE OR NOT TO BE (Ernst Lubitsch, 1942)
101. (113) MADAME DE... (Max Ophüls, 1953)
102. (111) SÁTÁNTANGÓ (Béla Tarr, 1994)
103. (124) SHERLOCK JR. (Buster Keaton, 1924)
104. (77) A CLOCKWORK ORANGE (Stanley Kubrick, 1971)
105. (144) FEAR EATS THE SOUL (Rainer Werner Fassbinder, 1974)
106. (99) LAST YEAR AT MARIENBAD (Alain Resnais, 1961)
107. (103) THE MOTHER AND THE WHORE (Jean Eustache, 1973)
108. (101) AGUIRRE, THE WRATH OF GOD (Werner Herzog, 1972)
109. (120) IKIRU (Akira Kurosawa, 1952)
110. (121) A BRIGHTER SUMMER DAY (Edward Yang, 1991)
111. (86) ANNIE HALL (Woody Allen, 1977)
112. (97) GREED (Erich von Stroheim, 1924)
113. (108) THE SPIRIT OF THE BEEHIVE (Victor Erice, 1973)
114. (96) ONCE UPON A TIME IN AMERICA (Sergio Leone, 1984)
115. (143) COME AND SEE (Elem Klimov, 1985)
116. (161) THE PIANO (Jane Campion, 1993)
117. (107) HIROSHIMA MON AMOUR (Alain Resnais, 1959)
118. (119) YI YI (Edward Yang, 2000)
119. (104) THE WIZARD OF OZ (Victor Fleming, 1939)
120. (158) THE RED SHOES (Michael Powell & Emeric Pressburger, 1948)
121. (109) INTOLERANCE (D.W. Griffith, 1916)
122. (130) DON'T LOOK NOW (Nicolas Roeg, 1973)
123. (98) BLOW-UP (Michelangelo Antonioni, 1966)
124. (126) BRINGING UP BABY (Howard Hawks, 1938)
125. (115) L'ECLISSE (Michelangelo Antonioni, 1962)
126. (164) A MATTER OF LIFE AND DEATH (Michael Powell & Emeric Pressburger, 1946)
127. (122) LETTER FROM AN UNKNOWN WOMAN (Max Ophüls, 1948)
128. (125) A DAY IN THE COUNTRY (Jean Renoir, 1936)
129. (129) VIVRE SA VIE (Jean-Luc Godard, 1962)
130. (137) NOTORIOUS (Alfred Hitchcock, 1946)
131. (186) IMITATION OF LIFE (Douglas Sirk, 1959)
132. (106) ALIEN (Ridley Scott, 1979)
133. (165) HISTOIRE(S) DU CINÉMA (Jean-Luc Godard, 1988-98)
134. (127) ALL ABOUT EVE (Joseph L. Mankiewicz, 1950)
135. (133) MY DARLING CLEMENTINE (John Ford, 1946)
136. (159) THE EXTERMINATING ANGEL (Luis Buñuel, 1962)
137. (145) THE GOSPEL ACCORDING TO ST. MATTHEW (Pier Paolo Pasolini, 1964)
138. (131) LOS OLVIDADOS (Luis Buñuel, 1950)
139. (138) HIS GIRL FRIDAY (Howard Hawks, 1940)
140. (153) SPIRITED AWAY (Hayao Miyazaki, 2001)
141. (286) DAISIES (Věra Chytilová, 1966)
142. (310) KILLER OF SHEEP (Charles Burnett, 1977)
143. (218) CÉLINE AND JULIE GO BOATING (Jacques Rivette, 1974)
144. (140) UN CHIEN ANDALOU (Luis Buñuel, 1928)
145. (110) GONE WITH THE WIND (Victor Fleming, 1939)
146. (118) NOSFERATU (F.W. Murnau, 1922)
147. (105) E.T. THE EXTRA-TERRESTRIAL (Steven Spielberg, 1982)
148. (132) ROME, OPEN CITY (Roberto Rossellini, 1945)
149. (157) THE UMBRELLAS OF CHERBOURG (Jacques Demy, 1964)
150. (147) TROUBLE IN PARADISE (Ernst Lubitsch, 1932)
151. (146) THE CONVERSATION (Francis Ford Coppola, 1974)
152. (173) L'ARGENT (Robert Bresson, 1983)
153. (135) THE GOOD, THE BAD AND THE UGLY (Sergio Leone, 1966)
154. (152) DAYS OF HEAVEN (Terrence Malick, 1978)
155. (112) ONE FLEW OVER THE CUCKOO'S NEST (Milos Forman, 1975)
156. (203) MY NEIGHBOUR TOTORO (Hayao Miyazaki, 1988)
157. (311) WANDA (Barbara Loden, 1970)
158. (123) MANHATTAN (Woody Allen, 1979)
159. (197) CHUNGKING EXPRESS (Wong Kar-wai, 1994)
160. (156) CRIES AND WHISPERS (Ingmar Bergman, 1972)
161. (134) L'ÂGE D'OR (Luis Buñuel, 1930)
162. (117) STAR WARS (George Lucas, 1977)
163. (149) THE PASSENGER (Michelangelo Antonioni, 1975)
164. (217) TROPICAL MALADY (Apichatpong Weerasethakul, 2004)
165. (136) BADLANDS (Terrence Malick, 1973)
166. (151) THE DEER HUNTER (Michael Cimino, 1978)
167. (150) THERE WILL BE BLOOD (Paul Thomas Anderson, 2007)
168. (160) DOUBLE INDEMNITY (Billy Wilder, 1944)
169. (320) TOUKI BOUKI (Djibril Diop Mambéty, 1973)
170. (172) DEKALOG (Krzysztof Kieslowski, 1989)
171. (141) STAGECOACH (John Ford, 1939)
172. (128) ROSEMARY'S BABY (Roman Polanski, 1968)
173. (175) THE TEXAS CHAINSAW MASSACRE (Tobe Hooper, 1974)
174. (245) THE COLOUR OF POMEGRANATES (Sergei Parajanov, 1969)
175. (170) EARTH (Alexander Dovzhenko, 1930)
176. (148) DUCK SOUP (Leo McCarey, 1933)
177. (155) BRIEF ENCOUNTER (David Lean, 1945)
178. (167) THE DISCREET CHARM OF THE BOURGEOISIE (Luis Buñuel, 1972)
179. (178) THE RIVER (Jean Renoir, 1951)
180. (176) THE BIRDS (Alfred Hitchcock, 1963)
181. (226) ONLY ANGELS HAVE WINGS (Howard Hawks, 1939)
182. (183) MOUCHETTE (Robert Bresson, 1967)
183. (209) RAN (Akira Kurosawa, 1985)
184. (166) SPRING IN A SMALL TOWN (Fei Mu, 1948)
185. (189) A CITY OF SADNESS (Hou Hsiao-hsien, 1989)
186. (179) NAPOLÉON (Abel Gance, 1927)
187. (---) PORTRAIT OF A LADY ON FIRE (Céline Sciamma, 2019)
188. (163) CHIMES AT MIDNIGHT (Orson Welles, 1965)
189. (246) JOHNNY GUITAR (Nicholas Ray, 1954)
190. (212) VAMPYR (Carl Theodor Dreyer, 1932)
191. (174) BLACK NARCISSUS (Michael Powell & Emeric Pressburger, 1947)
192. (231) LA NOTTE (Michelangelo Antonioni, 1961)
193. (191) OUT OF THE PAST (Jacques Tourneur, 1947)
194. (169) ROCCO AND HIS BROTHERS (Luchino Visconti, 1960)
195. (205) PAISAN (Roberto Rossellini, 1946)
196. (154) THE TREE OF LIFE (Terrence Malick, 2011)
197. (196) NIGHTS OF CABIRIA (Federico Fellini, 1957)
198. (201) SALÒ, OR THE 120 DAYS OF SODOM (Pier Paolo Pasolini, 1975)
199. (142) THE LADY EVE (Preston Sturges, 1941)
200. (180) THE LAST LAUGH (F.W. Murnau, 1924)
201. (233) PARIS, TEXAS (Wim Wenders, 1984)
202. (162) ON THE WATERFRONT (Elia Kazan, 1954)
203. (187) DEATH IN VENICE (Luchino Visconti, 1971)
204. (424) VAGABOND (Agnès Varda, 1985)
205. (816) NEWS FROM HOME (Chantal Akerman, 1976)
206. (168) KING KONG (Merian C. Cooper & Ernest B. Schoedsack, 1933)
207. (208) THE LIFE AND DEATH OF COLONEL BLIMP (Michael Powell & Emeric Pressburger, 1943)
208. (192) RAIDERS OF THE LOST ARK (Steven Spielberg, 1981)
209. (232) WAVELENGTH (Michael Snow, 1967)
210. (177) THE GREAT DICTATOR (Charles Chaplin, 1940)
211. (369) THE GLEANERS & I (Agnès Varda, 2000)
212. (194) SOLARIS (Andrei Tarkovsky, 1972)
213. (219) WINGS OF DESIRE (Wim Wenders, 1987)
214. (230) ZERO FOR CONDUCT (Jean Vigo, 1933)
215. (199) UMBERTO D. (Vittorio De Sica, 1952)
216. (---) MOONLIGHT (Barry Jenkins, 2016)
217. (240) THE THING (John Carpenter, 1982)
218. (190) BREAKING THE WAVES (Lars von Trier, 1996)
219. (206) LE SAMOURAÏ (Jean-Pierre Melville, 1967)
220. (250) THE LIFE OF OHARU (Kenji Mizoguchi, 1952)
221. (185) CLOSE ENCOUNTERS OF THE THIRD KIND (Steven Spielberg, 1977)
222. (181) THE GRAPES OF WRATH (John Ford, 1940)
223. (184) KES (Ken Loach, 1969)
224. (248) MAGNOLIA (Paul Thomas Anderson, 1999)
225. (198) BLACK GOD, WHITE DEVIL (Glauber Rocha, 1964)
